Rating,Title,New Desc,Level,BodyPart,Type,Equipment
Best,Medicine ball Russian twist,"The medicine ball Russian twist is a weighted version of a popular abdominal training exercise. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in the ab-focused portion of any workout.",Intermediate,Abdominals,Strength,Medicine Ball
Best,30 Medicine Ball Slam,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",Intermediate,Abdominals,Strength,Medicine Ball
Best,Medicine ball twist,"The medicine ball twist is an exercise targeting the abdominal muscles, particularly the obliques. It is similar in many ways to a Russian twist exercise. The ball is held tight to the chest throughout the movement, and then the torso is rotated from side to side for the desired number of reps or a set amount of time.",Intermediate,Abdominals,Strength,Medicine Ball
Best,FYR2 Medicine Ball Complex,None,Intermediate,Abdominals,Strength,Medicine Ball
Good,FYR2 Medicine Ball Fire-Feet Drill,None,Intermediate,Abdominals,Strength,Medicine Ball
Best,FYR2 Medicine Ball Knees-to-Chest,None,Intermediate,Abdominals,Strength,Medicine Ball
Best,FYR2 Medicine Ball Mountain Climber,None,Intermediate,Abdominals,Strength,Medicine Ball
Best,Decline oblique crunch,"The decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Intermediate,Abdominals,Strength,None
Best,Decline sit-up,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength,None
Bad,Hanging Windshield Wiper,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",Intermediate,Abdominals,Strength,None
Best,Exercise Ball Pull-In,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Intermediate,Abdominals,Strength,Exercise Ball
Good,Exercise ball crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Feet-elevated crunch,"The feet-elevated crunch is a variation on the basic crunch, a very popular ab move. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs. It may have a small range of motion, but this movement produces a major burn.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Weighted Ball Side Bend,None,Beginner,Abdominals,Strength,Exercise Ball
Best,Swiss Ball Ab Roll-Out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, you roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Intermediate,Abdominals,Strength,Exercise Ball
Bad,Exercise Ball Cable Crunch - Gethin Variation,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Intermediate,Abdominals,Strength,Cable
Best,Exercise ball squat and twist,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Swiss Ball V-Up With Foot Pass,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Exercise ball pike,"The exercise ball pike is a challenging move that targets the core. It involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. It's a challenging move from a strength perspective, but also for balance. It can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit.",Intermediate,Abdominals,Strength,Exercise Ball
Best,Exercise ball bird dog,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Exercise ball superman,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Intermediate,Abdominals,Strength,Exercise Ball
Bad,BOSU cross-body crunch,"The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Intermediate,Abdominals,Strength,Exercise Ball
Best,Exercise Ball Knee Tuck - Gethin Varation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Intermediate,Abdominals,Strength,Exercise Ball
Good,Alternating Exercise Ball Knee Tucks - Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Intermediate,Abdominals,Strength,Exercise Ball
Good,AM Ball Crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Intermediate,Abdominals,Strength,Exercise Ball
Best,30 Bosu Cable Reverse Crunch,None,Intermediate,Abdominals,Strength,Exercise Ball
Best,BOSU knee tuck,"The BOSU knee tuck is a dynamic abdominal movement performed on a BOSU ball or other stability training device. It primarily targets the rectus abdominis or ""six-pack"" muscles of the core. It can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Intermediate,Abdominals,Strength,Exercise Ball
Best,30 Side Plank On Ball,"The feet-elevated side plank on ball is a more advanced version of a traditional bodyweight side plank. The feet are balanced on an exercise ball, providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles. It is usually performed for timed holds, either one side at a time or alternating sides. If a ball is unavailable, some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch, chair, bench, or other stable object.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Hanging exercise ball leg raise,"The hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs.",Intermediate,Abdominals,Strength,Exercise Ball
Good,Taylor Exercise Ball Stir-The-Pot,None,Intermediate,Abdominals,Strength,Exercise Ball
Best,FYR2 Air Ball,None,Intermediate,Abdominals,Strength,Exercise Ball
Good,Feet-elevated plank on ball,"The feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. The feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. This makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout.",Intermediate,Abdominals,Strength,Exercise Ball
Best,Band Hip Adductions,None,Beginner,Adductors,Strength,Bands
Bad,Lateral Band Walk,None,Intermediate,Abductors,Strength,Bands
Bad,FYR2 Standing Banded Leg Abduction,None,Intermediate,Abductors,Strength,Bands
Good,Iliotibial band SMR,"Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.",Intermediate,Abductors,Stretching,Foam Roll
Bad,Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",Beginner,Adductors,Stretching,Foam Roll
Bad,Lying Bent Leg Groin,None,Beginner,Adductors,Stretching,Other
Bad,Lateral box jump,"The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.",Intermediate,Adductors,Plyometrics,Other
Best,Thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Intermediate,Adductors,Strength,Machine
Good,Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Intermediate,Abductors,Strength,Machine
Best,Standing Hip Circles,None,Beginner,Abductors,Stretching,Body Only
Best,Groiners,None,Beginner,Adductors,Stretching,Body Only
Good,Fire Hydrant,None,Beginner,Abductors,Strength,Body Only
Good,Windmills,None,Intermediate,Abductors,Stretching,Body Only
Good,Side Leg Raises,None,Beginner,Adductors,Stretching,Body Only
Good,Lateral hop,"The lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. It targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.",Intermediate,Adductors,Plyometrics,Body Only
Good,Monster Walk,None,Intermediate,Abductors,Strength,Body Only
Bad,Side Lying Groin Stretch,None,Intermediate,Adductors,Stretching,Body Only
Bad,IT Band and Glute Stretch,None,Intermediate,Abductors,Stretching,Body Only
Bad,Single-leg lying cross-over stretch,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",Beginner,Abductors,Stretching,Body Only
Bad,Carioca quick step,"The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels.",Intermediate,Adductors,Plyometrics,Body Only
Bad,Standing hip circle,"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.",Intermediate,Abductors,Stretching,Body Only
Bad,Lateral cone hop,"The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. It can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power.",Intermediate,Adductors,Plyometrics,Body Only
Good,Side-To-Side Adductor Stretch,None,Intermediate,Adductors,Strength,Body Only
Best,Dynamic pigeon stretch,"The dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. It can be part of a dynamic warm-up or mobility work performed anytime.",Intermediate,Abductors,Strength,Body Only
Bad,Cross-over jack,"The cross-over jack is a variation on the jumping jack, a popular calisthenics exercise used to improve overall conditioning. The difference between the jumping jack and the cross-over jack is that with the latter, the feet don't just come together each rep, they cross over each other. It's a great way to add variety to your warm-up or conditioning work.",Intermediate,Abductors,Strength,Body Only
Best,Traveling thigh killa,"The traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",Intermediate,Abductors,Strength,Body Only
Best,FYR Thigh Killa,"The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",Intermediate,Abductors,Strength,Body Only
Best,HM Straddle Stretch,None,Intermediate,Abductors,Stretching,Body Only
Best,HM Right Leg Swing,None,Intermediate,Abductors,Stretching,Body Only
Good,HM Right Side-Kick,None,Intermediate,Abductors,Stretching,Body Only
Best,HM Frog Stretch,None,Intermediate,Abductors,Strength,Body Only
Best,HM Kick-Out,None,Intermediate,Abductors,Strength,Body Only
Bad,HM Left Leg Swing,None,Intermediate,Adductors,Strength,Body Only
Bad,UNS Foam Roll Adductor,None,Intermediate,Adductors,Strength,Body Only
Good,MetaBurn Groiner,None,Intermediate,Abductors,Strength,Body Only
Best,Side-lying leg adduction scissor,"The side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. It targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Intermediate,Adductors,Strength,Body Only
Good,Groin and Back Stretch,None,Beginner,Adductors,Stretching,None
Bad,Adductor/Groin,None,Beginner,Adductors,Stretching,None
Best,Incline dumbbell biceps curl,"The incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Intermediate,Biceps,Strength,Bands
Bad,Banded biceps curl in squat position,"The banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body.",Intermediate,Biceps,Strength,Bands
Best,Banded Hammer Press - Gethin Variation,The machine chest press is an upper body exercise targeting the pectoral muscles.,Intermediate,Biceps,Strength,Bands
Good,Band standing concentration curl,"The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Intermediate,Biceps,Strength,Bands
Bad,Brachialis SMR,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.",Beginner,Biceps,Stretching,Foam Roll
Best,Wide-grip barbell curl,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.",Beginner,Biceps,Strength,Barbell
Best,EZ-bar spider curl,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Intermediate,Biceps,Strength,Barbell
Best,Barbell Curl,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Intermediate,Biceps,Strength,Barbell
Best,Close-grip EZ-bar curl,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Beginner,Biceps,Strength,Barbell
Best,Preacher Curl,"The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it’s next to impossible to cheat. Go light, get a great pump, and build that peak!",Intermediate,Biceps,Strength,Barbell
Best,Barbell Curls Lying Against An Incline,None,Beginner,Biceps,Strength,Barbell
Best,Seated Close-Grip Concentration Barbell Curl,None,Beginner,Biceps,Strength,Barbell
Best,Close-grip barbell curl,"The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Beginner,Biceps,Strength,Barbell
Best,Drag curl,"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.",Beginner,Biceps,Strength,Barbell
Good,Reverse-grip barbell curl,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.",Intermediate,Biceps,Strength,Barbell
Good,Lying High Bench Barbell Curl,None,Beginner,Biceps,Strength,Barbell
Bad,Seated wide-grip curl to close-grip curl,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. It is thought that wide-grip curls target the inner head of the biceps more, while close-grip curls target the outer head or peak. This variation allows you to get the benefits of both.",Beginner,Biceps,Strength,Barbell
Bad,Seated Straigh-Bar Curl Superset,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. The variation is that the range of motion changes in alternating fashion—one more traditional, one where you’re bringing the weight in more from the side.",Beginner,Biceps,Strength,Barbell
Good,Dave Draper Forehead Curl,None,Intermediate,Biceps,Strength,Barbell
Bad,Reverse-grip EZ-bar curl,"The reverse-grip EZ-bar curl is an exercise targeting the biceps and forearms. Because grip strength is a limitation with this move, it is often performed for moderate to high reps as part of an upper-body or arm-focused workout.",Intermediate,Biceps,Strength,Barbell
Good,EZ-Bar Spider Curl - Gethin Variation,The EZ-bar spider curl is an isolation exercise targeting the biceps and performed face-down on an incline bench. The EZ-bar makes for a more comfortable wrist position.,Intermediate,Biceps,Strength,Barbell
Bad,Barbell curl-,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Intermediate,Biceps,Strength,Barbell
Bad,Paul Carter Barbell Curl,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Intermediate,Biceps,Strength,Barbell
Best,Standing band biceps curl,The standing band biceps curl is an arm-focused exercise using a band for resistance. This variation is usually performed for moderate to high reps as part of an arms-focused or upper-body workout.,Intermediate,Biceps,Strength,Barbell
Bad,Close-Grip EZ-Bar Curl - Gethin Variation,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard barbell curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, like at least 8-12 reps per set.",Intermediate,Biceps,Strength,Barbell
Best,Seated Barbell Curl,None,Intermediate,Biceps,Strength,Barbell
Good,AM Standing Barbell Curl,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Intermediate,Biceps,Strength,Barbell
Best,EZ-bar preacher curl,"The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it's next to impossible to use momentum which forces the muscles to work harder.",Intermediate,Biceps,Strength,Barbell
Best,30 Arms Standing Barbell Curl,None,Intermediate,Biceps,Strength,Barbell
Good,30 Arms Incline Biceps Curl,None,Intermediate,Biceps,Strength,Barbell
Good,"Bicep Curls ""21s""",None,Intermediate,Biceps,Strength,Barbell
Best,Incline Hammer Curls,None,Beginner,Biceps,Strength,Dumbbell
Best,Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Intermediate,Biceps,Strength,Dumbbell
Best,Biceps curl to shoulder press,"The biceps curl to shoulder press is a dumbbell complex that combines two exercises that build and strengthen the biceps and shoulders or deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit two crucial upper-body muscles in any workout.",Beginner,Biceps,Strength,Dumbbell
Best,Concentration curl,"The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Intermediate,Biceps,Strength,Dumbbell
Best,Flexor Incline Dumbbell Curls,None,Beginner,Biceps,Strength,Dumbbell
Best,Dumbbell Bicep Curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Intermediate,Biceps,Strength,Dumbbell
Best,Cross-body hammer curl,"The cross-body hammer curl is a dumbbell exercise that targets the biceps, brachialis, and forearm muscles. Rather than lifting the weights directly in front of the body, you lift them across the torso. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. This helps isolate the brachialis muscles on each arm. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Beginner,Biceps,Strength,Dumbbell
Best,Dumbbell Alternate Bicep Curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Intermediate,Biceps,Strength,Dumbbell
Best,Single-arm dumbbell preacher curl,"The single-arm dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. Most people will go light on this movement, performing it for moderate to high reps as part of an upper-body or arms-focused workout.",Intermediate,Biceps,Strength,Dumbbell
Best,Alternate Incline Dumbbell Curl,"The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.",Intermediate,Biceps,Strength,Dumbbell
Best,Standing concentration curl,"The standing concentration curl is a variation on the more common seated concentration curl, which is a staple of bodybuilding arm routines. It can serve as a substitute for preacher curl variations if a preacher bench is unavailable and is also a classic way to focus in on the biceps peak. It is usually performed for moderate to high reps, such as 8-10 reps per set, with a focus on strict form and controlled tempo.",Beginner,Biceps,Strength,Dumbbell
Best,Alternating incline dumbbell biceps curl,"The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.",Intermediate,Biceps,Strength,Dumbbell
Best,Alternate Hammer Curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Intermediate,Biceps,Strength,Dumbbell
Best,Seated dumbbell biceps curl,"The seated dumbbell biceps curl is a popular exercise for building bigger biceps. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Intermediate,Biceps,Strength,Dumbbell
Best,Preacher Hammer Dumbbell Curl,None,Beginner,Biceps,Strength,Dumbbell
Good,Dumbbell preacher curl,"The dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. All you need is a pair of dumbbells and a preacher bench. It's usually performed for moderate to high reps as part of an upper-body or arms-focused workout.",Intermediate,Biceps,Strength,Dumbbell
Good,Lying Supine Dumbbell Curl,None,Beginner,Biceps,Strength,Dumbbell
Good,Standing Dumbbell Reverse Curl,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can performed standing or seated.",Beginner,Biceps,Strength,Dumbbell
Good,Palms-out incline biceps curl,"The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl, but the palms-out position targets the long head of the biceps, which is responsible for the biceps ""peak."" This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Beginner,Biceps,Strength,Dumbbell
Good,Straight-arm plank with biceps curl,"The straight-arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing an additional cardiovascular challenge.",Beginner,Biceps,Strength,Dumbbell
Good,Face-down incline dumbbell biceps curl,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Beginner,Biceps,Strength,Dumbbell
Good,Seated Dumbbell Inner Biceps Curl,None,Beginner,Biceps,Strength,Dumbbell
Good,Standing Inner-Biceps Curl,None,Beginner,Biceps,Strength,Dumbbell
Best,Seated hammer curl,"The seated hammer curl is a popular exercise for building bigger biceps and forearms. The movement resembles hammering a nail—hence the name. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Intermediate,Biceps,Strength,Dumbbell
Best,Paul Carter Incline Dumbbell Biceps Curl,The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.,Intermediate,Biceps,Strength,Dumbbell
Good,Paul Carter Concentration Curl,"The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Intermediate,Biceps,Strength,Dumbbell
Bad,FYR Dumbbell Curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Intermediate,Biceps,Strength,Dumbbell
Bad,Dumbbell biceps curl to upright row,"The dumbbell biceps curl to upright row is a dumbbell complex that combines two exercises that build and strengthen the biceps, traps, and the middle head of the deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit multiple upper-body muscles in any workout.",Intermediate,Biceps,Strength,Dumbbell
